,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Feature
110,-4.0,401,0.028766140602582497,393,8,0.0199501246882793,0.44936475132349196,0.004731914955792918,0.000586562467168178,TRD_P_12
111,"(-1.0, 0.50)",8304,0.5956958393113343,7912,392,0.04720616570327553,-0.4401292853538479,0.1425266891499377,0.017673415764188544,SP_H_41
112,"[0.50, 397.50)",823,0.05903873744619799,814,9,0.010935601458080195,1.0597324698003874,0.041726388457217954,0.004984666199232348,SP_H_41
113,"[397.50, 686.50)",1514,0.10860832137733142,1502,12,0.007926023778071334,1.3846428636701464,0.11540016343274685,0.013372936407310508,SP_H_41
114,"[686.50, 1084.50)",1600,0.11477761836441894,1588,12,0.0075,1.4403206731531473,0.12920977730947297,0.014885581435266438,SP_H_41
115,"[1084.50, inf)",1658,0.11893830703012913,1652,6,0.0036188178528347406,2.172979165986935,0.23548082126099731,0.024739116931639382,SP_H_41
116,-1.0,41,0.0029411764705882353,41,0,0.0,0.0,0.0,0.0,SP_H_41
117,"(-1.0, 2.50)",1560,0.11190817790530846,1552,8,0.005128205128205128,1.8228548401973947,0.17558628673542323,0.01933899756219256,G5_ND_SPACII
118,"[2.50, 5.50)",1355,0.09720229555236728,1346,9,0.006642066420664207,1.5626646140025198,0.12306860227198979,0.01398755376391504,G5_ND_SPACII
119,"[5.50, 17.50)",1310,0.09397417503586801,1292,18,0.013740458015267175,0.8285716075804492,0.044640623288506466,0.005425742725545794,G5_ND_SPACII
120,"[17.50, inf)",711,0.051004304160688664,688,23,0.03234880450070324,-0.04670869686173962,0.00011374776750235664,1.4217178559115481e-05,G5_ND_SPACII
121,-3.0,279,0.020014347202295554,258,21,0.07526881720430108,-0.9365661716677391,0.027746258963413397,0.0033468338535678132,G5_ND_SPACII
122,-4.0,2383,0.17094691535150647,2347,36,0.015107007973143098,0.7323709385289803,0.06606670317346083,0.00807858710026365,G5_ND_SPACII
123,-2.0,6301,0.45200860832137735,5985,316,0.05015076971909221,-0.503733914460772,0.14615370028364913,0.01807847314137638,G5_ND_SPACII
124,-1.0,41,0.0029411764705882353,41,0,0.0,0.0,0.0,0.0,G5_ND_SPACII
125,"(-999995.0, -173.50)",704,0.05050215208034433,703,1,0.0014204545454545455,3.1103535729447316,0.15464427748697443,0.014045713127566344,TRD_B_24
