Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Feature
"[40.00, inf)",1347,0.09172000544736483,1114,233,0.17297698589458055,-0.8757133347878756,0.10114259121363732,0.012253727662114848,G5_ND_SPECII
-2.0,1287,0.08763448181941985,1158,129,0.10023310023310024,-0.24575004793813582,0.005868523187371962,0.0007317250262563564,G5_ND_SPECII
-1.0,43,0.0029279586000272367,41,2,0.046511627906976744,0.5800375844349581,0.0007748016477522533,9.5514948628098e-05,G5_ND_SPECII
-3.0,784,0.05338417540514776,637,147,0.1875,-0.9740502329159775,0.07572271228862522,0.009108048937185653,G5_ND_SPECII
['P' 'D' 'X' 'W' 'S'],3165,0.2155113713740978,3030,135,0.04265402843601896,0.6706558183555811,0.07350154969454224,0.00901929031591334,Marital_Status
['M'],2963,0.20175677516001633,2820,143,0.04826189672629092,0.5412602319628474,0.047227334242281,0.005832394372337787,Marital_Status
['C' 'O' 'I'],872,0.059376276726133735,823,49,0.05619266055045872,0.3807486008570389,0.007345052531509053,0.0009126255780539192,Marital_Status
['Q'],7686,0.5233555767397522,6836,850,0.11059068436117617,-0.3556656069582851,0.07687427782907844,0.009558954771180558,Marital_Status
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Marital_Status
"[0, 436.00)",807,0.05495029279586,665,142,0.17596034696406443,-0.8964273186548111,0.06402218273357269,0.0077451427822926265,SP_F2_33
"[436.00, 912.50)",859,0.05849107994007899,730,129,0.15017462165308498,-0.7071551719286397,0.03929140186761983,0.004811582004247627,SP_F2_33
"[912.50, 1615.00)",1178,0.08021244722865314,1060,118,0.100169779286927,-0.24504773906895627,0.005339266180300167,0.0006657434036395644,SP_F2_33
"[1615.00, 3575.00)",2065,0.1406101048617731,1927,138,0.06682808716707021,0.19607868154775732,0.004980085746680951,0.0006215153990921877,SP_F2_33
"[3575.00, 4725.00)",1047,0.07129238730763993,989,58,0.055396370582617004,0.3958640193668881,0.009474066041859077,0.0011765857094321146,SP_F2_33
"[4725.00, 7110.00)",2050,0.13958872395478686,1959,91,0.04439024390243902,0.6289426097182864,0.0425789282945324,0.005236341717695617,SP_F2_33
